	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YER062C	gene-YER062C	16729.87589381	7.89995285793729	0.408404079816733	19.3434719395612	2.31360768705949e-83	1.34466878771898e-79
gene-YDR536W	gene-YDR536W	10088.3875658594	7.87425693864776	0.411570713538514	19.1322090703397	1.36179332362435e-81	3.95737139845235e-78
gene-YHR094C	gene-YHR094C	8495.18381695328	7.88162386796486	0.432048964755188	18.242432017933	2.37645425885381e-74	4.60398405081945e-71
gene-YNL065W	gene-YNL065W	2109.59251633768	7.78535627383003	0.466922898693211	16.6737512673272	2.03418020907087e-62	2.95566384377997e-59
gene-YKL120W	gene-YKL120W	1727.16576088197	7.26932832013166	0.482440487924752	15.0678239121288	2.6365494011971e-51	3.0647250239515e-48
gene-YLR264W	gene-YLR264W	1387.81187716781	6.48318041175779	0.432159664434151	15.0018174885585	7.14360815563264e-51	6.91977510008949e-48
gene-YGR159C	gene-YGR159C	8021.26313257396	6.76742031702058	0.451849110924083	14.9771686021036	1.0353476882523e-50	7.52180095515297e-48
gene-YJL122W	gene-YJL122W	1291.14917225209	6.51163388594864	0.434559385928806	14.9844511401612	9.27889243697766e-51	7.52180095515297e-48
gene-YNL112W	gene-YNL112W	5328.97759833763	7.36398330856714	0.49355882582876	14.9201734893544	2.43639096929038e-50	1.57336714594619e-47
gene-YOR271C	gene-YOR271C	1052.36038007439	6.84435921025407	0.472758769804096	14.4774875632455	1.68131235248929e-47	9.77178739266776e-45
gene-YJL108C	gene-YJL108C	955.200371924124	5.9960877951944	0.427990460917207	14.0098631692502	1.35666108304262e-44	7.16810383149428e-42
gene-YJL107C	gene-YJL107C	845.32657171764	6.17172279359245	0.443100681480973	13.9284886066181	4.25259444073921e-44	2.05967324079802e-41
gene-YOR360C	gene-YOR360C	1923.1949752374	5.65887628680125	0.406989007932208	13.9042484600563	5.9690534882679e-44	2.66862606721639e-41
gene-YOL124C	gene-YOL124C	594.101731156924	7.8043311447347	0.562817908622058	13.8665295207858	1.01048902479966e-43	4.19497300866832e-41
